"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gkap11",0.00391208665647136,1.09448062555276,0.395,0.237,1,"8","Gkap1"
"Fbxo3",0.00404565028511241,1.42154916500337,0.302,0.16,1,"8","Fbxo3"
"Kmt2a",0.00404692753981757,0.937517084275848,0.628,0.479,1,"8","Kmt2a"
"Hivep12",0.00407453040519615,0.875456452830271,0.465,0.279,1,"8","Hivep1"
"Gapdh5",0.00408346867623624,0.540836038658677,0.884,0.746,1,"8","Gapdh"
"Msantd42",0.00413511548236404,1.58489205724382,0.372,0.217,1,"8","Msantd4"
"Cdh112",0.00413906186915775,0.918097034061072,0.488,0.316,1,"8","Cdh11"
"Ppp3ca1",0.00415127086179583,1.4373023776802,0.581,0.47,1,"8","Ppp3ca"
"Slc38a22",0.00422776628260916,0.499235095925169,0.884,0.789,1,"8","Slc38a2"
"Hnrnph31",0.00425899404514517,1.13958398619755,0.372,0.216,1,"8","Hnrnph3"
"Oaz13",0.00429711804083927,0.467207033357436,0.884,0.873,1,"8","Oaz1"
"Psma72",0.00432451323525486,0.54120770251365,0.814,0.637,1,"8","Psma7"
"Cct22",0.00444627467501417,0.710710741757933,0.581,0.387,1,"8","Cct2"
"Lman21",0.00445050332799786,0.743814931204733,0.535,0.38,1,"8","Lman2"
"Akt31",0.00445521916943207,1.56511817260303,0.256,0.122,1,"8","Akt3"
"Tomm203",0.00450685581535018,0.78861569218608,0.558,0.418,1,"8","Tomm20"
"Atp5md3",0.00456162650994716,0.822120125915396,0.651,0.56,1,"8","Atp5md"
"Cyp20a12",0.00457139981743301,1.04023920068378,0.395,0.254,1,"8","Cyp20a1"
"Sobp1",0.00461417802417445,1.32229140098476,0.326,0.175,1,"8","Sobp"
"Tut41",0.00463747178705561,0.789603999379775,0.512,0.345,1,"8","Tut4"
"Fnbp1",0.00471811827807952,1.32067804727291,0.302,0.161,1,"8","Fnbp1"
"Uqcc3",0.00472681480894229,1.22221276179177,0.349,0.197,1,"8","Uqcc3"
"Lsm43",0.00480781138595659,0.797380832464865,0.488,0.336,1,"8","Lsm4"
"Cd1514",0.00484955846163738,0.960019732962132,0.465,0.302,1,"8","Cd151"
